text	sentiment
even today , fascination with this film is on par with hitchcock's " psycho , " and it never seems to age . 	1
although grand new technology exists that makes the technical sequences , including several mechanical sharks , obsolete , none of it could improve the film because it only would lead to overkill . 	1
the technical limitations faced by spielberg in 1975 may have actually produced a better film because it forced him to rely on traditional cinematic elements like pacing , characterization , sharp editing , and creative photography , instead of simply dousing the audience with digital shark effects . 	1
scheider , dreyfuss , and shaw were known actors at the time " jaws " was made , but none of them had the draw of a robert redford or paul newman . 	1
nevertheless , this film guaranteed them all successful careers because each gave an outstanding performance and refused to be overshadowed by the shark . 	1
scheider hits just the right notes as a sympathetic husband and father caught in the political quagmire of doing what's right and going against the entire town . 	1
 " it's your first summer here , you know , " mayor vaughn warns him . 	1
dreyfuss , who had previously been seen in " american graffiti " ( 1973 ) and " the apprenticeship of duddy kravitz " ( 1974 ) gives a surprisingly mature , complex performance for someone who had literally only played kids and teenagers . 	1
however , most outstanding is the gnarled performance by robert shaw as the movie's captain ahab , a performance sorely overlooked by the academy awards . 	1
bordering of parody , shaw plays quint as a grizzled old loner whose machismo borders on masochism . 	1
he's slightly deranged , and shaw's performance is almost a caricature . 	1
however , there is one scene late in the film , when he and brody and hooper are below deck on the orca comparing scars . 	1
quint is drawn into telling the story of his experiences aboard the u . s . s . 	1
indianapolis , a navy ship in world war ii that was sunk by the japanese . 	1
his tale of floating in the water for more than a week with over 1 , 000 other men while swarms of sharks slowly devoured them them is actually more hair-raising than anything spielberg put on screen . 	1
shaw delivers the story in one long take , and it is the best acting in the film . 	1
of course , we can't leave out the shark itself ; with its black eyes , endless rows of teeth , and insatiable urge to eat , it is basically the epitome of all mankind's fears about what is unknown and threatening in nature . 	1
a shark is such a perfect nemesis it is real -- having survived sinch the dinosaurs , great whites do exist , they can be as large as the shark in " jaws , " and they are a threat . 	1
every one of spielberg's subjective underwater shots makes us feel queasy because lets us see how we look to the shark : a bunch of writihing , dangling , completely unprotected legs just ready to be chomped into . 	1
the shark in " jaws " was actually a combination of actual footage and five different mechanical sharks ( all nicknamed " bruce " by the crew ) built to be shot from different angles . 	1
many have forgotten , but " jaws " was a sort of precursor to " waterworld " ( 1995 ) , a movie's who soggy production and cost overruns had universal studios worried about a bomb . 	1
but , as we can see now , spielberg overcame all the obstacles , and delivered one of the finest primal scare-thrillers ever to come out of hollywood . 	1
moviemaking is a lot like being the general manager of an nfl team in the post-salary cap era -- you've got to know how to allocate your resources . 	1
every dollar spent on a free-agent defensive tackle is one less dollar than you can spend on linebackers or safeties or centers . 	1
in the nfl , this leads to teams like the detroit lions , who boast a superstar running back with a huge contract , but can only field five guys named herb to block for him . 	1
in the movies , you end up with films like " spawn " , with a huge special-effects budget but not enough money to hire any recognizable actors . 	1
jackie chan is the barry sanders of moviemaking . 	1
he spins and darts across the screen like sanders cutting back through the defensive line . 	1
watching jackie in operation condor as he drives his motorcycle through the crowded streets of madrid , fleeing an armada of pursuers in identical black compact cars , is reminiscent of sanders running for daylight with the chicago bears in hot pursuit , except that sanders doesn't have to worry about rescuing runaway baby carriages . 	1
but like the lions star , jackie doesn't have anybody to block for him . 	1
almost every cent that's invested in a jackie chan movie goes for stunts , and as chan does his own stunts , the rest of the money goes to pay his hospital bills . 	1
this leaves about 75 cents to pay for things like directors ( chan directs ) , scripts and dubbing and supporting characters , not to mention the hideous title sequence . 	1
this also explains why the movie was shot in odd places like morocco and spain . 	1
 ( chan's first release in this country , " rumble in the bronx " , was supposedly set in new york , but was filmed in vancouver , and in the chase scenes the canadian rockies are clearly visible . ) 	1
heck , jackie doesn't even have enough money for a haircut , looks like , much less a personal hairstylist . 	1
in condor , chan plays the same character he's always played , himself , a mixture of bruce lee and tim allen , a master of both kung-fu and slapstick-fu . 	1
jackie is sent by the un to retrieve a cache of lost nazi gold in the north african desert , and is chased by a horde of neo-nazi sympathizers and two stereotypical arabs ( one of the things i like about jackie chan movies : no political correctness ) . 	1
he is joined by three women , who have little to do except scream , " jackie , save us ! " , and misuse firearms . 	1
the villain is an old nazi whose legs were broken in the secret base so that he has to be carried everywhere , and he's more pathetic than evil . 	1
en route , we have an extended motorcycle chase scene , a hilarious fight in the moroccan version of motel 6 with the neo-nazis , and two confrontations with savage natives . 	1
once at the secret desert base , there is a long chop-socky sequence , followed by the film's centerpiece , a wind-tunnel fight that's even better than the one in face/off . 	1
this is where the money was spent , on well-choreographed kung-fu sequences , on giant kevlar hamster balls , on smashed-up crates of bananas , and on scorpions . 	1
ignore the gaping holes in the plot ( how , exactly , if the villain's legs were broken , did he escape from the secret nazi base , and why didn't he take the key with him ? ) . 	1
don't worry about the production values , or what , exactly , the japanese girl was doing hitchhiking across the sahara . 	1
just go see the movie . 	1
operation condor has pretentions of being a " raiders of the lost ark " knockoff , but one wonders what jackie could do with the raiders franchise blocking for him -- with a lawrence kazdan screenplay , a john williams score , spielberg directing and george lucas producing , condor might be an a+ movie . 	1
however , you've got to go with what you've got , and what you've got in jackie chan is something special -- a talent that mainstream hollywood should , could , and ought to utilize . 	1
on june 30 , 1960 , a self-taught , idealistic , yet pragmatic , young man became , at age 36 , the first head of government of a newly independent african state , formerly the belgian congo . 	1
two months later , he was ousted from his powerful position and hunted by government troops until he was captured and brutally murdered along with two aides . 	1
this little-known story of this meteoric rise and fall is told my international filmmaker raoul peck in " lumumba . " 	1
patrice lumumba's ( eriq ebouaney ) story has been told previously by helmer peck in his 1991 award winning documentary , " lumumba - death of a prophet , " virtually guaranteeing that his new , fictional account of a patriot remains true to its subject . 	1
peck , with co-writer pascal bonitzer , begins at the end of the story of the young political leader . 	1
we watch as two white men perform the gruesome task of dismembering the bodies of three black men . 	1
images of hatchets , saws and fast-emptying whiskey bottles accompany the grisly image . 	1
jump back a few years to a meeting among the black leaders in the belgian-owned congo . 	1
a third class postal worker , lumumba , speaks his mind to heads of the most powerful tribes , proclaiming himself not tribal , not regional , but a national leader . 	1
his small , mobile party , the congolese national movement ( mnc ) is gaining prominence and patrice leaves his clerical job to sell beer , and get his face known , in the bustling capital , stanleyville . 	1
at a time when the colonial empires are falling down around the world , lumumba is in the right place at the right time and , through political savvy and chess-like manipulation , achieves a position of leadership of the mnc . 	1
as the date for independence approaches , he tactically positions himself to be the new nation's first prime minister and defense minister , supporting the presidency of joseph kasa vubu ( maka kotto ) . 	1
the coalition he created soon starts to fall apart as the former belgian masters continue to exert influence on the struggling nation as they strive to maintain economic hold on the country's vast natural resources of copper , diamonds , gold and more . 	1
lumumba won't seek the help of the us , knowing that they would try to create de facto american control of the fledgling government . 	1
his initial investigation into soviet assistance immediately tags patrice as a communist and his integrity is overshadowed by the cold war threat of russian domination . 	1
the situation goes from bad to worse as the army mutinies , the remaining whites begin to evacuate or arm themselves , belgian troops violently intervene , the lucrative katanga province succeeds under the leadership of rival moise tschombe ( pascal nzonzi ) and lumumba is refused access to his own country when he returns from a conference abroad . 	1
this tumultuous and little known period of modern african history saw a score of nations struggling for independence from the sometimes-odious colonialists who have ruled much of the world from their european seats of power for centuries . 	1
peck focuses his story on familiar material that strives to give an honest portrayal of patrice lumumba , his friend and foes and the independence movements that gripped africa in the 50's and 60's . 	1
 ( during the time the story takes place , many new nations , including nigeria and somalia , were born , with varying degrees of success and failure , usually dependent upon which country colonized them . 	1
some colonial masters were better than others . ) 	1
the effort involved in " lumumba " is quite ambitious as peck and his crew before and behind the camera strive to bring to life this slice of world history that might have gone unexplored for decades , if at all . 	1
production values are first rate on what must be a small , by us standards , budget . 	1
the period feel and realistic african settings are nicely maintained in a production that traveled from zimbabwe to mozambique . 	1
the screenplay covers a lot of ground and does yeoman's work in providing a great deal of detailed history while trying to do justice to the story of lumumba's life . 	1
the political side of things is evenly told in a linear , straightforward manner that teaches , not preaches . 	1
it concentrates on the good deeds of the man , if a bit as a stalwart saint , but doesn't embellish on a larger than life persona . 	1
the family side of patrice's life is handled in several , perfunctory and brief interludes that show him talking to one of his children , embracing his wife or lamenting the death of his child . 	1
i know the intent is to flesh the man out , but too short a shrift is given to the family man side of lumumba . 	1
the story , as such , has a lopsided feel about it . 	1
high marks go to eriq ebouaney as the title character . 	1
the actor gives a convincing , charismatic performance as the multifaceted , politically deft patrice lumumba who has the good of his people and his country as the force driving his own ambitions . 	1
in true docudrama tradition , the supporting cast does not outshine the star , complementing his good efforts , instead . 	1
 " lumumba " is a solid , interesting , educational and honest docudrama that should appeal to film buffs and politicos , both . 	1
it has more intelligence in its telling than anything i've seen out of hollywood for months and i give it a b+ . 	1
apparently , director tony kaye had a major battle with new line regarding his new film , american history x . i don't know the details of the fight , but it seems that he is not happy with the final product , and nearly removed his name from the credits altogether . 	1
i've heard about this kind of thing happening before , and it makes me wonder how much input a studio has over the films they produce . 	1
as it is , i found american history x to be an extremely good film , not just because of tony kaye's focused look at the touchy subject of racism , but because of a powerful , charismatic performance from edward norton . 	1
it's hard to believe that it has only been two years since norton's fantastic role in primal fear , but , here he is now , starring in his own film and making himself a star . 	1
norton is one of those performers who becomes his character , and his work in american history x is one of the very best performances this year . 	1
he plays a young man named derek vinyard , a skinhead living in venice beach with his brother , danny ( edward furlong ) , mother ( beverly d'angelo ) , and sister , davin ( jennifer lien ) . 	1
the film opens with a flashback , in which derek brutally kills two black men vandalizing his car . 	1
we find out that this lands him in prison , and the film from that point is seen through the eyes of danny . 	1
in the present-time of the film , danny is in high school , and eager to follow the footsteps of his brother . 	1
much of the film is told in flashback , and we see the path that leads to derek's adoption of white supremacy . 	1
when derek is released , having served three years in prison , he finds that his brother is now a full-blown skinhead ; derek , however , has given up the violence , and tries to get his brother to understand why racism and the violence that comes with it are bad things . 	1
what makes this all interesting is that these two young men are not stupid , thoughtless people -- they are intelligent and articulate , and voice their beliefs in disturbingly straightforward terms . 	1
it's hard to make a controversial movie and not preach , but kaye has found the right note for his material . 	1
because american history x is a mainstream film , there has to be a redemption phase for our main character -- some people may think that this is the only way to make him sympathetic . 	1
i partially disagree with this , because , although i do not advocate racism in any way , it's interesting the way kaye presents derek -- he is a loud , obnoxious man , but he's also very smart . 	1
the reasons for why he becomes a skinhead are believable -- his father was arbitrarily killed by a group of black men . 	1
it's clear that he's passionate about his beliefs , and that he's not just a punk looking for an excuse to beat people up . 	1
of course , it helps that kaye has an actor as talented as norton to play this part . 	1
it's astonishing how frightening norton looks with a shaved head and a swastika on his chest . 	1
in addition to getting the look just right , he's perfect for this role -- derek requires intelligence , depth , and a whole lot of shouting , and norton does it all with ease . 	1
even when he's at his meanest , derek has a likable quality to him , and that's a gutsy approach when telling a story about a skinhead . 	1
what adds depth to the story is a subplot in which the principal of danny's school ( avery brooks ) becomes obsessed with purging the hatred from danny . 	1
the other performances are all terrific , with standouts from furlong , d'angelo , and lien . 	1
visually , the film is very powerful . 	1
kaye indulges in a lot of interesting artistic choices , and most of them work nicely -- lots of slow-motion and strange camera angles add to a moody atmosphere . 	1
but , like a lot of movies lately , american history x skims past greatness in the last few minutes . 	1
although the climactic scene is very moving , the picture ends with a pretentious , preachy resolution featuring a brief narration from a character who was killed . 	1
for a movie so smart a subtle up until that point , it felt like a slap in the face to be hand-fed a theme in such a simplistic way . 	1
it makes me wonder what , exactly , tony kaye disliked about the final version of his film . 	1
perhaps this last scene was the problem . 	1
it's hard to imagine any director not being at least partially pleased with a film this good -- in a time when so many movies are timid and weak , american history x manages to make a compelling argument for racism without advocating it any way . 	1
one of my colleagues was surprised when i told her i was willing to see betsy's wedding . 	1
and she was shocked to hear that i actually liked it . 	1
her reaction was understandable when you consider that the film revolves around molly ringwald , who hasn't made a worthwhile film since 1986 . 	1
but the fact is , betsy's wedding is also an alan alda film . 	1
and while ringwald has been making duds for the last four years , alda has been involved with several noteworthy projects , including crimes and misdemeanors and a new life . 	1
written and directed by alda , betsy's wedding is a vibrant slice-of-life , mixing a few dramatic moments into a big bowl of whimsical humor . 	1
alda's comic elixir is smooth and refreshing--and a welcome change of pace from the usual summer fare . 	1
as bride and groom , molly ringwald and dylan walsh are the pivotal characters in the film , but they are by far the least interesting . 	1
walsh is a nonentity , with all the screen presence of a door knob . 	1
ringwald is simply unbearable and is easily the weakest link in the chain . 	1
she looks hideous with her short-cropped orange hair , red lip-stick and grotesque outfits . 	1
she's supposed to be a dress designer , but she looks more like a clown . 	1
and to make matters worse , ringwald's performance matches her appearance . 	1
thankfully , alda keeps ringwald's screen time to a minimum ; he is far more interested in the colorful periphery characters . 	1
the wedding is just a device to bring together the bride's working-class , italian family and the groom's rich , gentile family . 	1
ringwald's folks are homey and down-to-earth , with alda as her free-spirited father , madeline kahn as her practical mother , and ally sheedy as her lonely sister . 	1
walsh's clan , on the other hand , is prim , proper and ostentatious . 	1
when the two families meet and mingle , the movie becomes a story of culture clash , or as one character puts it , " money versus values . " 	1
ally sheedy , in a wonderfully understated performance , is one of the film's most pleasant surprises . 	1
sheedy expresses more with just her eyes than ringwald does with her entire body . 	1
it's anthony lapaglia , however , who seizes the spotlight . 	1
lapaglia plays stevie dee , a suave , overly polite mafioso who is formally courting sheedy with old-fashioned chivalry . 	1
lapaglia's sincere but dim-witted character is a riot . 	1
and what's uncanny is that lapaglia is a dead ringer for robert de niro , with a little bit of alec baldwin thrown in for good measure . 	1
lapaglia seems to have attended the de niro school of gangster acting , and his inspired performance is partly a tribute to his role-model and partly a rip-off . 	1
i don't know whether to say a star is born or a star is re-born , but i do know that lapaglia's over-the-top performance should not be missed . 	1
the scrumptious comic acting , however , extends well beyond sheedy and lapaglia . 	1
joe pesci , in particular , sinks his teeth into his role as alda's unscrupulous brother-in-law , a slum lord with mob ties , who is cheating on his wife ( catherine o'hara ) . 	1
alda , faced with challenge of both directing and acting , somehow finds just the right comic touch as the bride's financially-strapped father , a carpenter whose dreams are bigger than his wallet . 	1
the film adopts alda's psychological point of view as he tries to one : plan the wedding , and two : pay for it . 	1
as a filmmaker , alda's style of humor is remarkably restrained and tasteful . 	1
and while he doesn't have the comic genius of a woody allen , alda does possess the inspiration to make movies which are ten times more entertaining than the slop which usually passes for comedy . 	1
after bloody clashes and independence won , lumumba refused to pander to the belgians , who continued a condescending and paternalistic relationship with the congo . 	1
their officers , particularly general janssens ( rudi delhem ) in the force publique , the congo's army , caused rebellions , undermining lumumba , who was outraged at the rape and murder of belgian nationals . 	1
with unrest building , moise tshombe ( pascal nzonzi ) and the province of katanga , which contained 70 percent of the country's resources , proclaimed secession . 	1
lumumba replaced janssens , making mobutu a colonel , and went on a pacification 	1
tour with congolese president joseph kasa vubu ( maka kotto ) , but it was too late . 	1
'when you want to drown a dog , you say it has rabies , ' prophesies lumumba of his own fate . 	1
peck and bonitzer do an exemplary job telling a complicated tale with a myriad of players , although they frequently succumb to cliche , particularly regarding lumumba's private life . 	1
peck's script illuminates bantu sayings like 'the hand that gives , rules' when lumumba uses it with the american ambassador . 	1
peck's direction is less assured , with many scenes unfortunately playing like standard television fare . 	1
he's served well , though , by his casting of ebouaney in the title role . 	1
ebouaney is dynamic , radiating his character's fierce passion for his people and his country . 	1
lumumba's intelligence and ability to strategize , even as he's cornered by insurmountable odds , are given life by ebouaney . 	1
peck's subject and lead actor elevate his film above its mediocre production . 	1
 " lumumba " is a story that deserves to be told and ebouaney's performance makes the tragedy personally felt . 	1
the american action film has been slowly drowning to death in a sea of asian wire-fu copycats . 	1
it's not a pretty death , and it's leaving the likes of schwartznager , stallone , and van damme wearing cement galoshes at the bottom of a kung fu sea . 	1
sometimes , the mix results in a mind-blowing spectacle unlike any other . 	1
quality action with amazing and exciting stunt work , as in 1999's the matrix , can be a real gem . 	1
but too often hollywood gets it wrong , even when they pay off chinese directors . 	1
flying ninjas and floating karate masters have been replaced by soaring bronx detectives and slow motion kicking scientists . 	1
mostly it's laughable . 	1
in hollywood's rush to emulate the success of the matrix , trademark asian stunt choreography has become more of a joke than an art form . 	1
but iron monkey , the latest asian import , shows us how to get it right . 	1
iron monkey ( actually a reissue of a 1993 film ) is the story of a 19th chinese vigilante ( rongguang yu ) , fighting with his own unique style of shaolin kung fu for the rights of the oppressed and the bellies of the hungry . 	1
but it is also a piece of the narrative of legendary chinese film hero wong fei-hong , most recently seen in one of the most overlooked , and possibly best films of 2000 , drunken master 2 ( released in the u . s . as the legend of drunken master ) . 	1
unlike drunken master 2 , which stars jackie chan as an adult fei-hong , iron monkey finds a much younger fei-hong ( sze-man tsang ) and his father wong kei-ying ( yen chi dan ) thrust into the middle of iron monkey's fight against oppression . 	1
iron monkey succeeds as no kung fu film since drunken master 2 . at times , fighting styles , especially that of monkey himself , do devolve into the ridiculous twinkle-toed floating of films like crouching tiger , hidden dragon , director yuen wo ping eventually remembers to bring his action scenes back to earth . 	1
iron monkey is at its heart a hardcore , kung fu action film rather than any kind of drama a la crouching tiger . 	1
however , there are brief moments of profoundness shared between characters , such as those that pass between our outlaw hero and his good-hearted but misguided enemy , chief fox . 	1
in those moments , and in others , iron monkey manages to transcend its mindless kung fu nature to touch the hearts and minds of its audience . 	1
while in no way the equal of a masterpiece like drunken master 2 , iron monkey dances quite nicely to the invading kung fu tune . 	1
aka siunin wong fei-hung tsi titmalau . 	1
after watching " rat race " last week , i noticed my cheeks were sore and realized that , when not laughing aloud , i had held a grin for virtually all of the film's 112 minutes . 	1
saturday night , i attended another sneak preview for the movie and damned if i didn't enjoy it as much the second time as the first . 	1
 " rat race " is a great goofy delight , a dandy mix of energetic performances , inspired sight gags and flat-out silliness . 	1
hands down , this is the most fun film of the summer . 	1
the movie begins with zippy retro-style opening credits that look like they were torn straight out of a '60s slapstick comedy , featuring animated photos of the cast attached to herky-jerky bodies bounding around the screen . 	1
then comes the setup . 	1
donald sinclair ( john cleese ) , the extremely rich owner of the venetian hotel and casino in las vegas , enjoys concocting unusual bets for his high rolling clients . 	1
to that end , he places a half dozen very special tokens in his slot machines . 	1
gathering together the lucky token holders , he explains , " today you have a chance to play a game where the odds of winning are one in six . " 	1
the competition is simple : each contestant gets a key that opens a locker in silver city , n . m . , containing $2 million in cash . 	1
there is a transmitter in every key , so that sinclair and his cronies can keep track of who is ahead . 	1
the race has no rules ? whichever contestant reaches the locker first gets the money . 	1
since it would be wrong to spoil any of the jokes , let's use the next few paragraphs to profile the racers . 	1
decked out in flashy , trashy clothing and sporting big hair , vera baker ( whoopi goldberg ) is in town to reunite with the daughter she gave up for adoption as a baby . 	1
she finds that grown-up merrill ( lanai chapman ) is erudite , conservative and more than a little bit wary of this stranger trying to jump into her life . 	1
thrown together , it becomes clear that both women share a fierce competitive nature . 	1
owen templeton ( cuba gooding jr . ) is currently the most hated man in america . 	1
an nfl referee , he cost gamblers all over the country enormous amounts of money by blowing a call in a high-profile game . 	1
